,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
2,Bam Adebayo,C,25,49.62,41.74,30.975,6.653,12.413,0.55169,0.13499999999999993,0.7039999999999996,-0.0061599999999999945,6.692,12.584,0.5623100000000001,0.5573,3.7079999999999997,5.134,0.75046,2.255,7.128,10.119,3.307,1.388,0.629,2.3329999999999997,2.96,16.966,19.197000000000003,0.60009,0.031010000000000006,0.44524,9.078,26.573,17.958,15.599,2.2800000000000002,2.444,15.085,22.689,2.4099999999999997,2.827,4.642000000000001,0.14894,0.011000000000001009,1.359,1.9069999999999994,1.2900000000000003
7,Jarrett Allen,C,24,44.980000000000004,37.61,31.615999999999996,6.9799999999999995,10.575,0.66123,0.026999999999999982,0.426,0.07747000000000001,6.991,9.962,0.6835199999999999,0.65568,3.4529999999999994,4.705,0.6841299999999999,3.376,7.4239999999999995,10.614,1.49,0.764,1.2690000000000001,1.7999999999999998,1.47,17.673000000000002,23.999,0.69006,0.057760000000000006,0.44497,12.02,25.344,18.647,7.936,1.065,3.6670000000000003,13.487,20.616,4.622,2.643,6.57,0.19986,2.724,0.887,4.01,1.8440000000000003
11,Giannis Antetokounmpo,PF,28,92.26,78.1,24.518000000000004,8.101,15.075000000000001,0.54954,1.2880000000000003,3.559,0.32746,7.154,11.863000000000001,0.61297,0.57553,6.888000000000002,9.696000000000002,0.71348,1.8900000000000001,9.338,11.206999999999999,4.413,1.0350000000000001,1.309,2.508,3.016,24.903999999999996,29.800000000000004,0.63237,0.22496,0.60588,6.536,30.441,18.605,28.308999999999997,1.6740000000000002,4.012,11.065999999999999,33.072,9.341,4.444,14.258000000000001,0.29491,5.866,3.746,10.253,7.9
14,Cole Anthony,PG,22,50.019999999999996,45.7,24.34,4.2219999999999995,11.958,0.36365000000000003,1.899,5.719,0.32794,2.5280000000000005,4.743000000000002,0.41505,0.44109,2.4229999999999996,2.7809999999999993,0.85227,0.415,4.881,5.061000000000001,5.476,0.691,0.35,2.272,2.496,12.595,11.621,0.49021000000000003,0.43628,0.26438,1.294,17.08,9.127,28.72,1.167,0.9380000000000002,14.274999999999999,24.204,-1.7470000000000003,1.509,0.020000000000000018,-0.015710000000000043,-1.657,-0.7609999999999999,-2.263,-0.03399999999999981
15,OG Anunoby,SF,25,40.24,42.49,34.485,5.828,13.483,0.44031,2.463,6.675999999999999,0.35867,3.3899999999999997,6.519000000000001,0.5167700000000001,0.52084,1.805,2.4050000000000002,0.73723,1.548,3.754,5.552,2.679,1.438,0.494,1.5959999999999999,2.6060000000000003,15.591000000000001,12.968,0.5460600000000001,0.47908,0.17288,4.529,12.411999999999999,8.364,10.906,2.0860000000000003,1.391,9.536,19.407,0.4570000000000003,1.0859999999999994,2.4080000000000004,0.08708,-0.7679999999999995,-0.254,-0.22899999999999987,0.5420000000000003
21,Deandre Ayton,C,24,60.08,56.76,28.446,7.231999999999999,11.162,0.63165,0.23800000000000002,0.613,0.41139,6.968,11.048,0.61943,0.6412300000000001,0.8310000000000002,1.336,0.72443,2.412,7.8580000000000005,10.148,1.555,0.6359999999999999,0.6479999999999999,1.6900000000000002,2.408,15.981,21.709,0.65563,0.04643000000000001,0.15466999999999997,9.405,27.904000000000003,18.865000000000002,8.307,1.04,2.108,11.187999999999999,20.627,3.223,3.073,7.305,0.17988000000000004,1.5769999999999997,0.2139999999999999,2.084,2.2520000000000002
24,LaMelo Ball,PG,21,65.5,57.0,30.592999999999996,7.385,15.885,0.43835999999999997,2.796,6.884,0.41961000000000004,4.466,8.517999999999999,0.45076000000000005,0.51907,3.0829999999999997,3.7960000000000003,0.84264,1.4049999999999998,4.5,5.908,7.257,1.5170000000000001,0.312,3.117,2.66,20.588,20.372,0.5652200000000001,0.45374000000000003,0.2229,5.126,16.544999999999998,11.108,32.741,2.444,1.19,15.478000000000002,27.749,4.855,2.233,7.029,0.14381,3.5,-0.1619999999999999,4.034,3.759
27,Desmond Bane,SG,24,63.28,64.34,27.395,5.486,11.874,0.44416,3.122,7.257000000000001,0.47887,2.3130000000000006,5.1690000000000005,0.46587999999999996,0.55187,0.6670000000000003,0.3050000000000004,0.89798,0.58,3.513,4.065,2.512,1.172,0.403,1.269,2.475,13.965999999999998,15.662,0.57785,0.48775999999999997,0.13083999999999998,2.242,13.081999999999999,7.532,14.141,1.8559999999999999,1.1320000000000001,8.905,21.581000000000003,2.7510000000000003,3.044,4.9799999999999995,0.13394,1.4339999999999997,0.385,1.9080000000000001,1.9880000000000004
30,Harrison Barnes,PF,30,82.89,84.97,32.03,4.3469999999999995,9.332,0.47348999999999997,1.708,4.569,0.38528,2.5410000000000004,5.261000000000001,0.52728,0.5536500000000001,3.3140000000000005,4.073,0.82287,1.107,4.37,5.391,2.2689999999999997,0.704,0.198,1.34,1.143,13.508999999999999,12.915,0.61759,0.43808,0.49019999999999997,3.447,15.055,9.509,10.015,1.02,0.667,10.666,17.978,4.734999999999999,1.9349999999999992,7.2269999999999985,0.09441999999999999,-0.022999999999999465,-1.272,-0.9369999999999996,1.0050000000000003
31,Scottie Barnes,PF,21,64.25,61.39,34.634,6.5040000000000004,13.339,0.50375,0.5430000000000001,2.201,0.30043,5.388,10.406,0.53052,0.53785,2.7270000000000003,3.717999999999999,0.7344799999999999,2.563,4.798,7.423,3.743,1.0470000000000002,0.628,1.84,2.567,16.436,17.163,0.5587500000000001,0.21015999999999999,0.24781,7.915,16.514,11.757,14.44,1.321,1.8900000000000001,11.654,20.532,3.6990000000000003,2.3569999999999998,6.644,0.14589,0.8589999999999998,0.4010000000000001,1.21,1.598
32,RJ Barrett,SF,22,62.79,56.25,32.635,6.394,15.120000000000003,0.40673,2.15,6.018,0.2877,4.259,10.184000000000001,0.4477,0.46362000000000003,3.007,4.617,0.70866,0.752,3.7809999999999997,4.827,3.123,0.5609999999999999,0.136,2.181,1.861,17.256999999999998,11.481,0.50744,0.35509,0.29886,3.3859999999999997,14.586,9.182,14.771,0.921,0.6259999999999999,10.445,22.426,-1.8520000000000003,1.572,-0.9859999999999993,0.021689999999999994,-1.856,-1.7160000000000002,-3.0069999999999997,-1.6129999999999993
40,Bradley Beal,SG,29,32.62,20.13,32.152,9.050999999999998,19.741,0.43872,1.4,4.967,0.26625,7.778,15.128,0.47867,0.46437,4.662,5.882,0.79964,0.981,3.7889999999999997,4.633,6.281,0.855,0.30900000000000005,3.327,2.468,24.357999999999997,18.323,0.5199300000000001,0.26078,0.27171,2.984,11.391,7.495,29.251,1.211,0.772,13.497,33.012,0.3390000000000001,0.7989999999999999,1.191,0.05568,1.9569999999999999,-1.351,1.145,0.016000000000000236
46,Saddiq Bey,SF,23,73.67,64.59,32.265,4.8100000000000005,13.229000000000001,0.37282000000000004,2.52,7.2620000000000005,0.31004,2.517,5.702000000000001,0.42629,0.46512,2.758,3.16,0.8331,1.157,4.177,5.393000000000001,2.5069999999999997,0.796,0.203,0.8409999999999997,1.6700000000000002,14.91,12.403,0.5028,0.5302800000000001,0.24096,3.945,14.341,8.718,13.354000000000001,1.249,0.532,6.722999999999999,21.047,1.264,1.2220000000000002,1.7719999999999998,0.04154000000000001,0.1539999999999998,-1.592,-1.4969999999999999,0.5909999999999999
53,Bogdan Bogdanović,SG,30,47.74,7.379999999999999,27.766000000000002,5.367,13.328999999999999,0.40718,2.745,7.4399999999999995,0.38072,2.2680000000000002,5.165,0.50182,0.52571,1.409,1.4420000000000002,0.83014,0.24300000000000005,1.9909999999999999,1.697000000000001,3.088,1.1130000000000002,0.141,1.0010000000000001,2.081,15.017,12.735999999999999,0.54283,0.59648,0.17485999999999996,0.9720000000000003,9.897000000000002,5.3820000000000014,13.582999999999998,1.729,0.2129999999999997,7.24,22.125000000000004,0.4739999999999984,-0.09499999999999975,-0.009999999999998899,0.05422000000000002,0.7849999999999997,-1.248999999999999,-1.106999999999999,-0.4469999999999994
54,Bojan Bogdanović,PF,33,60.42,49.39,28.561,5.182,12.102,0.44959,2.5500000000000003,6.167,0.3914,2.849,5.856999999999999,0.50432,0.5531900000000001,2.8710000000000004,3.3729999999999998,0.8765,0.862,2.775,3.892,1.768,0.518,0.09899999999999996,1.0909999999999997,1.753,15.690000000000001,15.367999999999999,0.59432,0.48252,0.28829000000000005,3.582,10.750000000000002,7.462,11.982,0.994,0.3689999999999998,9.187,22.259999999999998,4.196,1.8330000000000002,6.424,0.14193999999999998,1.218,-1.3079999999999998,0.5259999999999999,1.542
58,Devin Booker,SG,26,61.09,52.33,31.237000000000002,9.783,21.093,0.44907,2.611,7.123,0.34867000000000004,6.985,14.441,0.48283,0.51705,5.023,5.752,0.85016,0.732,4.247000000000001,4.948,4.223,1.129,0.33100000000000007,2.56,2.512,26.764,22.8,0.5513399999999999,0.35073,0.24164,2.4670000000000005,13.459999999999999,8.033,21.317,1.711,0.853,10.114,33.633,4.109,2.9179999999999997,7.564,0.16244,4.405,0.39200000000000007,4.085999999999999,3.177
66,Miles Bridges,PF,24,72.65,56.2,34.03,7.776,16.005,0.50319,1.4169999999999996,4.934,0.31683,5.905,9.436,0.60758,0.5711200000000001,4.046,4.607,0.83452,0.9970000000000001,5.631,6.749,3.2039999999999997,0.942,0.7240000000000001,1.6600000000000001,2.1159999999999997,21.242,19.223,0.59717,0.37739,0.25777,3.0629999999999997,18.279,10.382,14.695999999999998,1.468,2.3120000000000003,8.448,24.275000000000002,5.694,2.514,7.557,0.14597000000000002,2.25,0.25699999999999984,2.687,2.976
68,Malcolm Brogdon,PG,30,49.83,41.05,29.641000000000002,5.677,12.953000000000001,0.42491,1.355,4.758,0.27180000000000004,4.340999999999999,8.488000000000001,0.51414,0.47404999999999997,3.079,3.4699999999999998,0.86895,0.896,4.135,4.951,5.926,0.6289999999999999,0.28700000000000003,1.868,1.816,16.377000000000002,16.065,0.5340500000000001,0.32951,0.26728,3.077,14.412,8.854,27.323,1.1849999999999998,0.6659999999999999,11.447,23.513,2.25,1.2429999999999999,3.910000000000001,0.10815,1.5389999999999997,0.030000000000000027,1.4589999999999999,1.618
70,Dillon Brooks,SF,27,17.4,14.440000000000001,25.927,6.292,15.094999999999997,0.42733,1.4149999999999998,4.704,0.3089,5.349,10.817,0.46562,0.47402999999999995,2.6439999999999997,2.9859999999999998,0.84079,0.8400000000000001,2.435,3.104,2.6679999999999997,0.932,0.299,1.6700000000000002,3.303,17.223,14.106,0.51087,0.31148,0.21292000000000003,3.219,9.288,6.2010000000000005,15.472000000000001,1.742,0.777,8.637,28.974,-1.4099999999999995,0.909,0.009999999999999787,0.06684000000000001,-1.6729999999999998,-0.932,-2.503,-0.47700000000000004
75,Jaylen Brown,SF,26,59.49,69.55,32.968,8.899,18.544,0.47368,2.14,6.335,0.35583,6.321000000000001,11.013,0.5458200000000001,0.54747,4.3790000000000004,5.236999999999999,0.75905,0.7220000000000001,5.208,6.068,3.249,1.22,0.335,2.523,2.2030000000000003,24.459000000000003,20.177999999999997,0.5638,0.38798,0.2685,2.6710000000000003,17.0,10.326,15.794999999999998,1.931,0.833,11.871,30.899,3.699,4.076,6.744999999999999,0.14445,2.257,1.4849999999999999,3.0769999999999995,2.4450000000000003
79,Jalen Brunson,SG,26,72.39,35.64,29.075,6.164000000000001,12.443000000000001,0.5012,1.045,2.274,0.35546,5.149,9.806,0.5548000000000001,0.54427,2.658,3.197,0.82697,0.569,3.49,3.9619999999999997,4.734999999999999,0.614,0.023999999999999994,1.733,1.782,16.376,18.159000000000002,0.5814199999999999,0.23975000000000002,0.25445999999999996,2.213,12.927999999999999,7.529,24.721,0.9239999999999999,0.15000000000000002,10.542,24.072,4.7860000000000005,2.539,6.704,0.13982,0.875,-0.3460000000000001,0.874,1.5809999999999997
86,Jimmy Butler,SF,33,48.76,33.57,33.179,6.712,13.683,0.46435,0.46299999999999997,1.6920000000000002,0.20395000000000002,6.069,12.227,0.49716,0.48297,6.293,7.404,0.89434,1.8,3.53,5.557,5.4879999999999995,1.618,0.558,1.9360000000000002,1.325,19.773,21.8,0.56184,0.11653000000000001,0.51336,6.109,12.847,9.727,27.334,2.424,1.7439999999999998,10.785,25.643,4.9830000000000005,3.096,9.28,0.21698,3.377,1.664,5.353,3.644
106,Jordan Clarkson,SG,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,John Collins,PF,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Cade Cunningham,SG,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Stephen Curry,PG,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Anthony Davis,C,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,DeMar DeRozan,PF,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Luka Dončić,PG,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Luguentz Dort,SG,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Kevin Durant,PF,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Anthony Edwards,SG,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Joel Embiid,C,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,De'Aaron Fox,PG,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Darius Garland,PG,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Paul George,PF,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Shai Gilgeous-Alexander,PG,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Rudy Gobert,C,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Jerami Grant,PF,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Jalen Green,SG,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Tyrese Haliburton,SG-PG,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,James Harden,PG,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Tobias Harris,PF,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Gordon Hayward,SF,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Tyler Herro,SG,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Buddy Hield,SG,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Jrue Holiday,PG,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Brandon Ingram,SF,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Kyrie Irving,PG,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Jaren Jackson Jr.,PF,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Reggie Jackson,SG,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,LeBron James,C,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Keldon Johnson,SF,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Nikola Jokić,C,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Kyle Kuzma,PF,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Zach LaVine,SG,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Caris LeVert,SG,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Damian Lillard,PG,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Tyrese Maxey,PG,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,CJ McCollum,SG,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Khris Middleton,SF,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Donovan Mitchell,SG,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Ja Morant,PG,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Marcus Morris,PF,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Dejounte Murray,PG,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Jordan Poole,SG,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Kevin Porter Jr.,PG,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Kristaps Porziņģis,PF,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Norman Powell,SF-SG,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Julius Randle,PF,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Terry Rozier,SG,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,D'Angelo Russell,PG,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Domantas Sabonis,PF,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Collin Sexton,SG,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Pascal Siakam,PF,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Anfernee Simons,SG,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Jayson Tatum,SF,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Klay Thompson,SG,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Karl-Anthony Towns,C,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Gary Trent Jr.,SG,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Jonas Valančiūnas,C,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Fred VanVleet,PG,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Nikola Vučević,C,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Franz Wagner,SF,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Russell Westbrook,PG,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Andrew Wiggins,SF,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Christian Wood,C,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Trae Young,PG,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
